Timestamp,AirTemp_C,RelHumidity_pct,WindSpeed_mps,GHI_Wm2,CloudCover_pct,DewPoint_C
2024-01-31 05:06:36,3.8,84.0,4.2,371.4,16.6,7.4
2024-01-26 03:35:02,16.8,69.9,2.2,152.4,51.3,3.5
2024-01-08 05:02:54,19.2,40.1,1.8,11.0,91.0,7.7
2024-02-07 14:18:48,14.9,89.9,2.8,9.0,61.8,6.3
2024-02-20 11:05:29,18.2,40.3,1.6,0.7,75.2,7.3
2024-02-22 01:45:00,18.9,53.7,3.1,14.5,39.1,2.3
2024-02-20 05:45:32,3.2,44.1,0.5,0.0,91.2,0.2
2024-01-01 15:13:45,14.3,60.7,3.6,0.0,0.0,-1.9
2024-02-22 01:45:00,2.6,89.9,1.0,0.0,58.3,-2.3
2024-01-05 16:25:26,19.5,47.2,2.2,14.8,69.4,5.3
2024-01-14 14:45:27,11.3,76.4,3.3,114.5,4.6,4.2
2024-02-02 22:13:54,19.5,40.7,2.4,405.0,67.5,8.6
2024-01-25 13:06:45,2.9,47.6,0.6,369.2,26.3,4.8
2024-01-18 09:21:25,19.4,66.0,0.5,800.0,78.2,8.6
2024-01-12 12:01:36,17.3,40.1,3.6,40.3,17.5,3.6
2024-02-12 12:53:59,17.9,73.9,1.1,496.1,96.8,5.5
2024-01-22 14:39:59,14.3,40.1,1.0,84.4,25.9,3.3
2024-02-16 03:24:33,14.1,87.3,1.2,0.8,77.1,0.3
2024-01-27 11:27:40,10.9,49.5,4.1,3.2,12.8,3.6
2024-02-02 02:02:52,1.8,53.4,3.1,363.4,52.2,4.0
2024-01-07 11:28:40,0.5,50.3,1.8,0.0,59.2,-2.3
2024-02-15 01:09:04,19.5,80.2,0.9,0.0,40.6,1.9
2024-01-12 00:22:46,10.3,55.6,2.0,383.2,100.0,3.5
2024-01-11 02:40:48,1.4,42.3,2.9,603.0,91.7,6.2
2024-01-09 18:18:50,15.6,59.9,2.2,0.0,55.9,-1.5
2024-01-21 05:11:06,0.5,54.4,1.2,0.0,10.8,3.4
2024-02-09 06:02:26,13.8,69.9,1.3,559.7,17.1,3.6
2024-02-22 01:45:00,1.1,72.5,1.8,0.0,0.0,2.6
2024-02-16 01:41:31,3.0,89.9,4.2,7.0,10.3,-2.0
2024-02-16 16:07:06,19.0,89.9,0.8,268.3,70.0,4.1
2024-02-09 02:01:18,9.9,78.2,3.8,0.0,22.6,-1.5
2024-01-07 13:02:07,19.5,68.3,3.8,0.0,12.2,2.6
2024-01-09 19:50:15,18.0,56.6,2.1,93.5,91.4,5.5
2024-02-14 12:39:37,14.1,47.1,0.5,0.0,83.9,5.4
2024-02-21 17:47:24,8.3,43.7,1.6,0.0,95.9,6.8
2024-01-23 14:24:07,11.7,82.9,2.8,359.4,44.4,2.2
2024-02-22 01:45:00,7.4,89.9,1.6,0.0,27.1,-1.1
2024-02-22 01:45:00,17.3,41.4,1.7,0.0,5.9,1.7
2024-02-18 20:31:59,0.6,89.9,1.2,0.0,68.2,-1.1
2024-02-07 15:47:38,1.8,89.0,1.3,563.8,76.0,4.9
2024-02-05 23:41:14,12.0,64.8,2.2,721.9,100.0,8.6
2024-01-23 13:22:40,16.1,81.7,0.5,0.0,33.1,2.3
2024-01-06 03:02:18,17.1,45.3,3.1,631.7,58.7,8.2
2024-01-18 22:22:49,19.0,81.0,2.4,8.8,100.0,1.1
2024-02-15 06:15:26,19.5,83.2,1.8,0.0,52.6,3.4
2024-02-18 04:37:00,3.0,74.6,3.5,0.0,4.0,4.2
